id_exercise|DateTime_Start|DateTime_End|n_poses|n_sets|n_reps|total_poses|seconds_rest_time|Class|Prob|count_pose_g|count_pose|count_rep|count_set|right_elbow_angles_pu|right_hip_angles_pu|right_knee_angles_pu|right_shoulder_angles_cu|right_hip_angles_cu|right_knee_angles_cu|right_shoulder_angles_fp|right_hip_angles_fp|right_ankle_angles_fp|right_hip_angles_fl|right_knee_angles_fl|left_knee_angles_fl|right_shoulder_angles_bd|right_hip_angles_bd|right_knee_angles_bd|left_knee_angles_bd|right_elbow_angles_bd|left_elbow_angles_bd|pose_trainer_cost_min|pose_trainer_cost_max|pose_user_cost
push_up|2023-05-15 14:11:40.304|2023-05-15 14:11:45.000|3|1|1|3|1|push_up|30.0|1|1|1|1|169|175|178||||||||||||||||0|999|63.4507
push_up|2023-05-15 14:11:45.000|2023-05-15 14:11:46.763|3|1|1|3|1|push_up|28.0|2|2|1|1|53|172|176||||||||||||||||0|999|59.4986
push_up|2023-05-15 14:11:46.763|2023-05-15 14:11:48.135|3|1|1|3|1|push_up|28.0|3|3|1|1|169|176|175||||||||||||||||0|999|63.2916
